case_id,qid,condition,rank,docid,retrieval_score_raw,score,rel,doc_lang,snippet
CASE_0001,599720,mixed,3,1962613,0.693937,0.693937,0,zh,但是，并发症很多。可能与静脉注射疗法齐头并进，用于检查 -。 ple，浸润，静脉炎，静脉痉挛，血肿。 toma，空气栓塞，以及神经、肌腱和 liga -。精神损害。 1 其中，神经损伤是。可能很严重，因为它可能导致终生瘫痪 -。 sis、麻木和畸形。
CASE_0001,599720,mixed,4,8061386,0.68256,0.68256,0,zh,过度灌注，或通过先前阻塞的颈动脉进入大脑动脉的血流量突然增加，可导致出血性中风。其他并发症包括再狭窄和可通过药物治疗的短期血压和心率降低。
CASE_0001,599720,mixed,5,8244552,0.677432,0.677432,0,zh,有哪些风险？注射的最重要风险是眼内感染。然而，这是一种非常罕见的并发症，发生在不到 1% 的注射中。其他罕见的并发症包括眼内出血、白内障、青光眼和视网膜脱离。
CASE_0001,599720,mixed,6,1056079,0.674881,0.674881,0,zh,PDF：并发症。获得 I.V. 的并发症可能包括浸润、血肿、空气栓塞、静脉炎、血管外给药和动脉内注射。动脉内注射更为罕见，但具有威胁性。DF：并发症。获得 I.V. 的并发症可能包括浸润、血肿、空气栓塞、静脉炎、血管外给药和动脉内注射。动脉内注射更为罕见，但具有威胁性。
CASE_0001,599720,mixed,7,5899232,0.671151,0.671151,0,zh,在后期，可能会出现并发症，例如感染、动脉瘤和/或假动脉瘤的形成、瘘管静脉狭窄、充血性心力衰竭、偷窃综合征、缺血性神经病变和血栓形成(表 1)。
CASE_0001,599720,mixed,8,7466189,0.669973,0.669973,0,zh,并发症。与外周静脉注射相关的严重并发症并不常见，但确实会出现问题，尤其是长期使用时。这就是为什么不同医院都有关于外周静脉注射的推荐持续时间的指南。
CASE_0001,599720,mixed,9,958278,0.664194,0.664194,0,zh,并发症包括。 1 中风（如果供应大脑的脑动脉被阻塞），2 心脏病发作（如果供应心肌的冠状动脉被阻塞），3 肾功能衰竭（如果供应肾脏的肾动脉，被屏蔽）
CASE_0001,599720,mixed,10,8442083,0.664007,0.664007,0,es,"Cuando ocurren efectos secundarios, generalmente son leves, como fiebre, náuseas, hematuria y disuria. Sin embargo, en <5% de los pacientes, la administración intravesical de BCG puede provocar complicaciones graves, como neumonitis, hepatitis, sepsis e incluso la muerte [3]."
CASE_0001,984948,endpoint,1,7295782,0.738523,0.738523,1,es,"Hormigueo en la nariz: cualquier cosa que irrite las terminaciones nerviosas de la punta de la nariz puede provocar un hormigueo. Uno de los más comunes es la hiperventilación, pero las alergias o cualquier irritante también pueden provocar un hormigueo en la nariz. ..."
CASE_0001,984948,endpoint,2,2559828,0.737957,0.737957,0,es,"La mayoría de las veces, el hormigueo en la nariz es el resultado de alergias o resfriado común. A veces, la sensación de hormigueo precede directamente a un estornudo, y otras veces el hormigueo llega ÃƒÂ ¢ Ã‚â‚¬Ã‚Â¦ y se apaga y se enciende a lo largo del día. Las personas que experimentan migraña"
CASE_0001,984948,endpoint,3,6106492,0.733468,0.733468,0,es,"Entumecimiento y hormigueo en la nariz. La sensación de hormigueo, entumecimiento y ardor es generalmente el síntoma cuando su nervio sensorial se daña debido a una enfermedad o lesión. El nervio sensorial es el nervio que irriga la piel."
CASE_0001,984948,endpoint,4,2559824,0.727695,0.727695,0,es,"Entumecimiento y hormigueo en la nariz. La sensación de hormigueo, entumecimiento y ardor es generalmente el síntoma cuando su nervio sensorial se daña debido a una enfermedad o lesión. El nervio sensorial es el nervio que irriga la piel. En el hormigueo nasal, hay una sensación de hormigueo en toda"
CASE_0001,984948,endpoint,5,7932934,0.722077,0.722077,0,es,"El hormigueo en la nariz normalmente se debe a alergias o al resfriado común. El hormigueo nasal crónico puede ser un indicio de esclerosis múltiple. Las alergias estacionales pueden causar hormigueo en la nariz en algunas personas y, por lo general, provocan estornudos. Un hormigueo en la nariz a m"
CASE_0001,984948,endpoint,6,2559825,0.720851,0.720851,0,es,"Las siguientes condiciones médicas son algunas de las posibles causas del hormigueo en la nariz. Es probable que existan otras causas posibles, así que pregúntele a su médico acerca de sus síntomas. 1 Estrés. 2 Nariz rota. 3 Migraña. 4 Esclerosis múltiple. 5 Menopausia. 6 Clima frío."
CASE_0001,984948,endpoint,7,7932929,0.719699,0.719699,0,es,"La mayoría de las veces, el hormigueo en la nariz es el resultado de alergias o resfriado común. A veces, la sensación de hormigueo precede directamente a un estornudo, y otras veces el hormigueo aparece y desaparece durante el día. Las personas que experimentan migrañas ocasionalmente también se qu"
CASE_0001,984948,endpoint,8,2559823,0.710069,0.710069,0,es,"1 Esto a menudo se debe a la hiperventilación, que es un síntoma común en personas con ataques de pánico. 2 Un hormigueo en la nariz puede ser una señal de que está respirando muy mal e indicar que necesita tomar el control de su respiración para detener su ansiedad. 3 Hemorragias nasales Las hemorr"
CASE_0001,984948,endpoint,9,2434849,0.697145,0.697145,0,es,"5 formas de evitar que le haga cosquillas en la nariz. Una sensación de hormigueo en la nariz puede ser un signo de diversas afecciones, como reacción alérgica, herpes, hipoparatiroidismo e hipocalcemia. Un ruido de cosquillas está asociado con varias condiciones. Reacciones alérgicas. El cosquilleo"
CASE_0001,984948,endpoint,10,6263823,0.691801,0.691801,0,es,"La sensación de ardor en la nariz acompañada de ardor u hormigueo en múltiples lugares del cuerpo puede ser un signo de enfermedades crónicas como la esclerosis múltiple. Si la sensación de ardor en la nariz es persistente o le preocupa, busque atención médica inmediata. Otras causas de la sensación"
CASE_0001,984948,mixed,1,6106492,0.73978,0.73978,0,es,"Entumecimiento y hormigueo en la nariz. La sensación de hormigueo, entumecimiento y ardor es generalmente el síntoma cuando su nervio sensorial se daña debido a una enfermedad o lesión. El nervio sensorial es el nervio que irriga la piel."
CASE_0001,984948,mixed,2,2559824,0.738136,0.738136,0,es,"Entumecimiento y hormigueo en la nariz. La sensación de hormigueo, entumecimiento y ardor es generalmente el síntoma cuando su nervio sensorial se daña debido a una enfermedad o lesión. El nervio sensorial es el nervio que irriga la piel. En el hormigueo nasal, hay una sensación de hormigueo en toda"
CASE_0001,984948,mixed,3,2559828,0.734022,0.734022,0,es,"La mayoría de las veces, el hormigueo en la nariz es el resultado de alergias o resfriado común. A veces, la sensación de hormigueo precede directamente a un estornudo, y otras veces el hormigueo llega ÃƒÂ ¢ Ã‚â‚¬Ã‚Â¦ y se apaga y se enciende a lo largo del día. Las personas que experimentan migraña"
CASE_0001,984948,mixed,4,7295782,0.725007,0.725007,1,es,"Hormigueo en la nariz: cualquier cosa que irrite las terminaciones nerviosas de la punta de la nariz puede provocar un hormigueo. Uno de los más comunes es la hiperventilación, pero las alergias o cualquier irritante también pueden provocar un hormigueo en la nariz. ..."
CASE_0001,984948,mixed,5,7932929,0.715838,0.715838,0,es,"La mayoría de las veces, el hormigueo en la nariz es el resultado de alergias o resfriado común. A veces, la sensación de hormigueo precede directamente a un estornudo, y otras veces el hormigueo aparece y desaparece durante el día. Las personas que experimentan migrañas ocasionalmente también se qu"
CASE_0001,984948,mixed,6,7932934,0.715638,0.715638,0,es,"El hormigueo en la nariz normalmente se debe a alergias o al resfriado común. El hormigueo nasal crónico puede ser un indicio de esclerosis múltiple. Las alergias estacionales pueden causar hormigueo en la nariz en algunas personas y, por lo general, provocan estornudos. Un hormigueo en la nariz a m"
CASE_0001,984948,mixed,7,2559825,0.715429,0.715429,0,es,"Las siguientes condiciones médicas son algunas de las posibles causas del hormigueo en la nariz. Es probable que existan otras causas posibles, así que pregúntele a su médico acerca de sus síntomas. 1 Estrés. 2 Nariz rota. 3 Migraña. 4 Esclerosis múltiple. 5 Menopausia. 6 Clima frío."
CASE_0001,984948,mixed,8,2559823,0.713291,0.713291,0,es,"1 Esto a menudo se debe a la hiperventilación, que es un síntoma común en personas con ataques de pánico. 2 Un hormigueo en la nariz puede ser una señal de que está respirando muy mal e indicar que necesita tomar el control de su respiración para detener su ansiedad. 3 Hemorragias nasales Las hemorr"
CASE_0001,984948,mixed,9,7549962,0.701925,0.701925,0,es,"El entumecimiento y el hormigueo en la cabeza pueden deberse a problemas de salud subyacentes, lesiones, resfriados comunes e incluso ansiedad. Las causas más comunes se enumeran a continuación: Problemas de resfriado y sinusitis: un resfriado o una infección grave de los senos nasales pueden compri"
CASE_0001,984948,mixed,10,7295784,0.698854,0.698854,0,es,Sé dónde están los nervios en la cara y cómo se sienten los síntomas nerviosos. Tengo sensaciones de entumecimiento y hormigueo viajando por ellos. Especialmente el de un lado.
CASE_0001,1033927,endpoint,1,7211854,0.681114,0.681114,1,es,"Los modelos conceptuales y teóricos de enfermería ayudan a aportar conocimientos para mejorar la práctica, orientar la investigación y el currículo e identificar los objetivos de la práctica de la enfermería. El conocimiento de enfermería es el conjunto inclusivo de las filosofías, teorías, investig"
CASE_0001,1033927,endpoint,2,4446553,0.680346,0.680346,0,es,"Un modelo conceptual de enfermería desarrollado por Myra Levine. La persona es vista como un ser holístico que se adapta a los desafíos ambientales. En este modelo, el objetivo de la enfermería es promover la integridad mediante la conservación de la energía, la integridad estructural, la integridad"
CASE_0001,1033927,endpoint,3,7211852,0.661706,0.661706,0,es,"Características clave: 1 Se enfoca en aplicar modelos conceptuales en la práctica. 2 Demuestra cómo se aplica una amplia gama de modelos conceptuales de enfermería a la práctica, la mejora de la calidad y la investigación de la enfermería. 3 plantillas de PowerPoint para cada modelo conceptual dispo"
CASE_0001,1033927,endpoint,4,3014088,0.656316,0.656316,0,es,El propósito de este estudio es comparar modelos de cuidados de enfermería funcional y en equipo. parto con resultados de pacientes sensibles a la enfermera en una unidad médico-quirúrgica de cuidados agudos. Definición de términos. El modelo de atención de enfermería es una forma de organización a
CASE_0001,1033927,endpoint,5,7582710,0.651319,0.651319,0,es,El propósito de este estudio es comparar modelos de cuidados de enfermería funcional y en equipo. parto con resultados de pacientes sensibles a la enfermera en una unidad médico-quirúrgica de cuidados agudos. Definición de términos. El modelo de atención de enfermería es una forma de organización a
CASE_0001,1033927,endpoint,6,5111824,0.648002,0.648002,0,es,"Nuestro modelo de práctica profesional, adaptado de Hoffart y Woods (1996) 1, contiene los valores, las estructuras y los procesos que respaldan el control de las enfermeras registradas de la prestación de cuidados de enfermería y el entorno en el que se prestan los cuidados. El centro del modelo es"
CASE_0001,1033927,endpoint,7,5393587,0.646281,0.646281,0,es,"Una teoría de enfermería, también llamada modelo de enfermería, es un marco desarrollado para guiar a las enfermeras en la forma en que cuidan a sus pacientes. A menudo, estos marcos definen la práctica de la enfermería, identifican el papel de la enfermera y explican el proceso de enfermería en rel"
CASE_0001,1033927,endpoint,8,1045517,0.644795,0.644795,0,es,"Los modelos permiten que los conceptos de la teoría de la enfermería se apliquen con éxito a la práctica de la enfermería. Proporcionan una descripción general del pensamiento detrás de la teoría y pueden demostrar cómo se puede introducir la teoría en la práctica, por ejemplo, a través de métodos e"
CASE_0001,1033927,endpoint,9,4446557,0.644376,0.644376,0,es,"un modelo conceptual de enfermería, formulado por Myra E. levine, preocupado por el mantenimiento de la integridad de la persona. La persona es un ser holístico, un organismo que es un sistema de sistemas y cambia a través de la adaptación."
CASE_0001,1033927,endpoint,10,873515,0.643536,0.643536,0,es,"Información básica sobre el modelo de sinergia de la AACN para la atención al paciente. El concepto central del modelo reconceptualizado de práctica certificada, el Modelo de sinergia de la AACN para la atención al paciente, es que las necesidades o características de los pacientes y sus familias in"
CASE_0001,1033927,mixed,1,4446553,0.662347,0.662347,0,es,"Un modelo conceptual de enfermería desarrollado por Myra Levine. La persona es vista como un ser holístico que se adapta a los desafíos ambientales. En este modelo, el objetivo de la enfermería es promover la integridad mediante la conservación de la energía, la integridad estructural, la integridad"
CASE_0001,1033927,mixed,2,3014088,0.65881,0.65881,0,es,El propósito de este estudio es comparar modelos de cuidados de enfermería funcional y en equipo. parto con resultados de pacientes sensibles a la enfermera en una unidad médico-quirúrgica de cuidados agudos. Definición de términos. El modelo de atención de enfermería es una forma de organización a
CASE_0001,1033927,mixed,3,7211854,0.658729,0.658729,1,es,"Los modelos conceptuales y teóricos de enfermería ayudan a aportar conocimientos para mejorar la práctica, orientar la investigación y el currículo e identificar los objetivos de la práctica de la enfermería. El conocimiento de enfermería es el conjunto inclusivo de las filosofías, teorías, investig"
CASE_0001,1033927,mixed,4,1045517,0.658061,0.658061,0,zh,模型使护理理论中的概念能够成功地应用于护理实践。它们概述了理论背后的思想，并可能展示如何将理论引入实践，例如，通过特定的评估方法。
CASE_0001,1033927,mixed,5,873515,0.651143,0.651143,0,es,"Información básica sobre el modelo de sinergia de la AACN para la atención al paciente. El concepto central del modelo reconceptualizado de práctica certificada, el Modelo de sinergia de la AACN para la atención al paciente, es que las necesidades o características de los pacientes y sus familias in"
CASE_0001,1033927,mixed,6,7211852,0.650981,0.650981,0,es,"Características clave: 1 Se enfoca en aplicar modelos conceptuales en la práctica. 2 Demuestra cómo se aplica una amplia gama de modelos conceptuales de enfermería a la práctica, la mejora de la calidad y la investigación de la enfermería. 3 plantillas de PowerPoint para cada modelo conceptual dispo"
CASE_0001,1033927,mixed,7,7582710,0.648056,0.648056,0,es,El propósito de este estudio es comparar modelos de cuidados de enfermería funcional y en equipo. parto con resultados de pacientes sensibles a la enfermera en una unidad médico-quirúrgica de cuidados agudos. Definición de términos. El modelo de atención de enfermería es una forma de organización a
CASE_0001,1033927,mixed,8,5393587,0.647867,0.647867,0,zh,护理理论，也称为护理模型，是一个框架，旨在指导护士如何照顾病人。通常，这些框架定义了护理实践，确定了护士的角色，并解释了与护理理论背后的理念相关的护理过程。
CASE_0001,1033927,mixed,9,5111824,0.646539,0.646539,0,es,"Nuestro modelo de práctica profesional, adaptado de Hoffart y Woods (1996) 1, contiene los valores, las estructuras y los procesos que respaldan el control de las enfermeras registradas de la prestación de cuidados de enfermería y el entorno en el que se prestan los cuidados. El centro del modelo es"
CASE_0001,1033927,mixed,10,4579478,0.641284,0.641284,0,zh,该项目的广泛目标是通过开发用于评估患者健康/疾病状态和记录整个护理期间的基本信息的手动或计算机辅助工具来改善患者护理。然后将基本信息组织成适合机器处理的护理评估表格.第一章介绍了研究的哲学、目标和范围。第二章考虑了护士的过去、现在、变化和未来的角色。
CASE_0001,193422,endpoint,1,7962386,0.640634,0.640634,1,es,"El ingreso familiar promedio en 43338 (Mount Gilead, OH) de $ 26,845 es aproximadamente un 54 por ciento menos que el ingreso promedio de $ 58,283 para los Estados Unidos en general. Cómo se comparan los precios del gas natural residencial en 43338 con los de EE. UU. Los precios del gas natural resi"
CASE_0001,193422,endpoint,2,7962389,0.638947,0.638947,0,es,"Precios de la gasolina en Mount Gilead en YP.com. Vea reseñas, fotos, direcciones, números de teléfono y más para conocer las mejores gasolineras en Mount Gilead, OH. Comience su búsqueda escribiendo el nombre de la empresa a continuación. Qué quieres encontrar?"
CASE_0001,193422,endpoint,3,7962385,0.624907,0.624907,0,es,"Busque precios de gasolina baratos en Mount Gilead, Ohio; Encuentre los precios de gasolina y gasolineras locales de Mount Gilead con los mejores precios de combustible. No conectado Iniciar sesión Registrarse Puntos Líderes 10:45 p.m."
CASE_0001,193422,endpoint,4,6009056,0.617951,0.617951,0,es,"el dia de ayer. $ 2.59 actualizar. Hay 12 informes de precios del gas regular en los últimos 5 días en Hilliard, OH, código postal 43026. El precio promedio del gas regular en Hilliard, OH, código postal 43026 es $ 2.52, que es $ 0.24 más bajo que el promedio nacional de EE. UU. Precio regular del g"
CASE_0001,193422,endpoint,5,5465936,0.616669,0.616669,0,zh,周五，Mont Belvieu 的乙烷价格为 22.5 cnts/gal，继续 NGL 的下降趋势，从 2012 年年中开始。上一次我们看到乙烷处于这个水平是在 2002 年。随着天然气价格徘徊在 3.00 美元/MMbtu 以上，毫无疑问。 Mont Belvieu 的塔恩周五公布为 22.5 cnts/gal，继续 NGL从 2012 年年中开始坠入深渊。我们上一次看到乙烷处于这个水平是在 2002 年。天然气价格在 3.00 美元/MMbtu 以上，这是毫无疑问的。
CASE_0001,193422,endpoint,6,3889323,0.608121,0.608121,0,zh,俄勒冈州天然气价格自 11 月以来首次上涨。根据 AAA 俄勒冈/爱达荷州的数据，现在俄勒冈州普通加仑的平均价格为 1.93 美元。这比一周前增加了三美分。
CASE_0001,193422,endpoint,7,6009058,0.606416,0.606416,0,zh,"过去 5 天内，俄亥俄州希利亚德有 12 份常规天然气价格报告。俄亥俄州希利亚德的平均常规天然气价格为 2.51 美元，比美国全国平均常规天然气价格 2.76 美元低 0.25 美元。最低的常规汽油价格是位于 2567 Walcutt Rd, Hilliard, OH 43026 的 Speedway (#9265) 的 2.42 美元。这里有过去 5 天内在俄亥俄州希利亚德的 12 份常规汽油价格报告。"
CASE_0001,193422,endpoint,8,2052783,0.599635,0.599635,0,es,"1 gas. 2 El precio de la gasolina en Bend, Oregón es $ 2.30. 3 El precio de la gasolina en Bend es 9.0% más alto que el promedio nacional. 4 Kodiak, Alaska es la ciudad más cara en gasolina a $ 3.74 por galón."
CASE_0001,193422,endpoint,9,850278,0.597333,0.597333,0,es,"Los precios de la gasolina en Yakima subieron con respecto a la misma época del año pasado. PORTLAND, Oregon (AP) - El club automovilístico AAA informa que el precio promedio de un galón de gasolina en Oregón es de 3,04 dólares. Eso es 2 centavos menos en una semana, 23 centavos en un mes, y es 24 c"
CASE_0001,193422,endpoint,10,2468951,0.59684,0.59684,0,es,"en riyadh suadi arabia los precios de la gasolina son increíblemente bajos según un informe reciente del Washington Post El gas subsidiado por el gobierno se vende por solo 45 centavos el galón, aproximadamente el mismo precio que el agua, mientras que los precios de la gasolina en Estados Unidos ha"
CASE_0001,193422,mixed,1,7962389,0.671333,0.671333,0,es,"Precios de la gasolina en Mount Gilead en YP.com. Vea reseñas, fotos, direcciones, números de teléfono y más para conocer las mejores gasolineras en Mount Gilead, OH. Comience su búsqueda escribiendo el nombre de la empresa a continuación. Qué quieres encontrar?"
CASE_0001,193422,mixed,2,7962385,0.667796,0.667796,0,es,"Busque precios de gasolina baratos en Mount Gilead, Ohio; Encuentre los precios de gasolina y gasolineras locales de Mount Gilead con los mejores precios de combustible. No conectado Iniciar sesión Registrarse Puntos Líderes 10:45 p.m."
CASE_0001,193422,mixed,3,7962386,0.662487,0.662487,1,es,"El ingreso familiar promedio en 43338 (Mount Gilead, OH) de $ 26,845 es aproximadamente un 54 por ciento menos que el ingreso promedio de $ 58,283 para los Estados Unidos en general. Cómo se comparan los precios del gas natural residencial en 43338 con los de EE. UU. Los precios del gas natural resi"
CASE_0001,193422,mixed,4,6009058,0.659191,0.659191,0,zh,"过去 5 天内，俄亥俄州希利亚德有 12 份常规天然气价格报告。俄亥俄州希利亚德的平均常规天然气价格为 2.51 美元，比美国全国平均常规天然气价格 2.76 美元低 0.25 美元。最低的常规汽油价格是位于 2567 Walcutt Rd, Hilliard, OH 43026 的 Speedway (#9265) 的 2.42 美元。这里有过去 5 天内在俄亥俄州希利亚德的 12 份常规汽油价格报告。"
CASE_0001,193422,mixed,5,5465936,0.650589,0.650589,0,zh,周五，Mont Belvieu 的乙烷价格为 22.5 cnts/gal，继续 NGL 的下降趋势，从 2012 年年中开始。上一次我们看到乙烷处于这个水平是在 2002 年。随着天然气价格徘徊在 3.00 美元/MMbtu 以上，毫无疑问。 Mont Belvieu 的塔恩周五公布为 22.5 cnts/gal，继续 NGL从 2012 年年中开始坠入深渊。我们上一次看到乙烷处于这个水平是在 2002 年。天然气价格在 3.00 美元/MMbtu 以上，这是毫无疑问的。
CASE_0001,193422,mixed,6,6009056,0.650265,0.650265,0,es,"el dia de ayer. $ 2.59 actualizar. Hay 12 informes de precios del gas regular en los últimos 5 días en Hilliard, OH, código postal 43026. El precio promedio del gas regular en Hilliard, OH, código postal 43026 es $ 2.52, que es $ 0.24 más bajo que el promedio nacional de EE. UU. Precio regular del g"
CASE_0001,193422,mixed,7,6009057,0.648707,0.648707,0,zh,"2.59 美元更新。过去 5 天内，俄亥俄州希利亚德 (Hilliard) 有 12 份常规天然气价格报告。俄亥俄州希利亚德的平均常规汽油价格为 2.51 美元，比美国全国平均常规汽油价格 2.76 美元低 0.25 美元。最低常规汽油价格为位于 2567 Walcutt Rd, Hilliard, OH 43026 的 Speedway (#9265) 2.42 美元。是过去 5 天内在俄亥俄州希利亚德的 12 份常规天然气价格报告。"
CASE_0001,193422,mixed,8,6854481,0.646592,0.646592,0,zh,根据 Gasbuddy.com 的数据，美国平均最高和最低的汽油成本在夏威夷为 3.87 美元，在俄克拉荷马州为 2.88 美元。哥斯达黎加的天然气约为每升 650 科朗。所以 3.78 升一加仑等于 2457 科朗，每加仑总计 4.91 美元。大米也因您在该国的位置而异。所有这些价格都与 Playas del Coco/Guanacaste 地区有关，在圣何塞或其他地方可能会更便宜。如果您想知道我们每月的预算是多少，我们有一份每月 1500 美元的哥斯达黎加生活成本明细。
CASE_0001,193422,mixed,9,2690111,0.644786,0.644786,0,zh,(俄勒冈海岸) ─ ─ ─ ─ AAA 俄勒冈州办公室表示，本周天然气价格将快速上涨，并将在整个夏季保持较高水平。普通无铅汽油的全国平均价格飙升 15 至每加仑 3.64 美元，而俄勒冈州的平均价格在短短一周内上涨了 1 角钱至 3.86 美元。年度最高。 “全国平均价格现在已经连续 9 天上涨，但仍比今年 2 月 27 日的 3.79 美元的峰值价格低 15 美分。” “多兹说。
CASE_0001,193422,mixed,10,850278,0.644243,0.644243,0,es,"Los precios de la gasolina en Yakima subieron con respecto a la misma época del año pasado. PORTLAND, Oregon (AP) - El club automovilístico AAA informa que el precio promedio de un galón de gasolina en Oregón es de 3,04 dólares. Eso es 2 centavos menos en una semana, 23 centavos en un mes, y es 24 c"
CASE_0001,408945,endpoint,1,7692287,0.601226,0.601226,1,es,"La fama de Dylan O'Brien se interpone en sus carreras de Chipotle. Y es cierto que, como el mejor amigo del canino angustiado titular del programa, O'Brien, de 23 años, lleva los niveles de Adam Brody de encanto poco convencional y alivio cómico al mundo de la escuela secundaria enloquecido con cria"
CASE_0001,408945,endpoint,2,2849057,0.593934,0.593934,0,es,"Dylan O'Brien Actor, The Maze Runner Dylan O'Brien nació en la ciudad de Nueva York, hijo de Lisa Rhodes, una ex actriz que también dirigía una escuela de actuación, y Patrick B. O'Brien, un operador de cámara. Su padre es de ascendencia irlandesa y su madre es de ascendencia inglesa, española e ita"
CASE_0001,408945,endpoint,3,1090490,0.590105,0.590105,0,zh,概述（2）。 Dylan O'Brien 出生于纽约市，前女演员 Lisa Rhodes 和一名摄影师帕特里克 B. O'Brien 出生，他的父亲是爱尔兰血统，母亲是英国人，西班牙和意大利血统。迪伦在新泽西州联合县的斯普林菲尔德镇长大，12 岁时随家人搬到加利福尼亚的赫莫萨海滩。ini Bio (1)。迪伦·奥布莱恩 (Dylan O'Brien) 出生于纽约市，父亲是前女演员丽莎·罗德斯 (Lisa Rhodes) 和摄影师帕特里克·B·奥布莱恩 (Patrick B. O'Brien)，后者还经营着一所表演学校。
CASE_0001,408945,endpoint,4,1090493,0.588143,0.588143,0,zh,官方照片Ãƒâ€šÃ‚Â»。 Dylan O'Brien 出生于纽约市，前女演员 Lisa Rhodes 和一名摄影师帕特里克 B. O'Brien 出生，他的父亲是爱尔兰血统，母亲是英国人，西班牙和意大利的祖先。官方照片Ãƒâ€šÃ‚Â»。迪伦·奥布莱恩 (Dylan O'Brien) 出生于纽约市，父亲是前女演员丽莎·罗德斯 (Lisa Rhodes) 和摄影师帕特里克·B·奥布莱恩 (Patrick B. O'Brien)，后者还经营着一所表演学校。
CASE_0001,408945,endpoint,5,1090492,0.587922,0.587922,0,zh,演员。官方照片Ãƒâ€šÃ‚Â»。迪伦·奥布莱恩 (Dylan O'Brien) 出生于纽约市，父亲是前女演员丽莎·罗德斯 (Lisa Rhodes) 和摄影师帕特里克·B·奥布莱恩 (Patrick B. O'Brien)，后者还经营着一所表演学校。他的父亲有爱尔兰血统，他的母亲有英国、西班牙和意大利血统。官方照片â€šâ€。迪伦·奥布莱恩 (Dylan O'Brien) 出生于纽约市，父亲是前女演员丽莎·罗德斯 (Lisa Rhodes) 和摄影师帕特里克·B·奥布莱恩 (Patrick B. O'Brien)，后者还经营着一所表演学校。
